ID,Application creation month,NUMBER CREDITS IN KBI 3,NUMBER CREDITS IN KBI 6,ADMINISTRATIVE VIOLATION,CRIMINAL VIOLATION,NUMBER CREDITS IN KBI,NUMBER REQUESTS IN KBI,NUMBER REQUESTS IN KBI ALL,CLOSED CREDITS IN KBI,CLOSED CREDITS IN KBI YEAR,OVERDUES IN KBI,DURATION LAST OVERDUE,COUNTGUARANTEE,COUNTCLOSEGUARANTEE,COUNTOPENGUARANTEE,DURATIONGREATESTDELAYLASTYEAR,DURATIONGREATESTDELAYLASTALL,LATECOUNTSUMM 1 7,LATECOUNTSUMM 8 30,LATECOUNTSUMM 31 90,LATECOUNTSUMM 91 180,LATECOUNTSUMM 181,LATECOUNTPRC 1 7,LATECOUNTPRC 8 30,LATECOUNTPRC 31 90,LATECOUNTPRC 91 180,LATECOUNTPRC 181,LATECOUNTPAY 1 7,LATECOUNTPAY 8 30,LATECOUNTPAY 31 90,LATECOUNTPAY 91 180,LATECOUNTPAY 181,SEX,BIRTH CNTR,MARITAL STATUS,CHILDREN,MINORS,HOMEPHONE,WORKPHONE,MOBILE 1,REG TOWNTYPE,HOME TOWNTYPE,EMPLOYMENT,EDUCATION,PROFESSION,REAL ESTATE,VEHICLE,PERSONNEL PHONE,ACCOUNTING PHONE,Age,Length work,Matching address of registration and residence,Loans total,Credit load,Marker
1,autumn,0,0,0,0,1,1,3,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,g,yes,yes,no,no,34,8.0,no,3,0.21,good
2,summer,1,2,1,2,1,1,4,3,1,0,1,3,1,2,0,7,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary education,h,no,no,no,no,46,5.0,yes,4,0.16,good
3,autumn,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,n,yes,yes,no,no,47,0.5,yes,2,0.05,good
4,autumn,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,PL,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,no,no,36,10.0,yes,3,0.54,good
5,spring,1,2,2,0,3,0,10,10,4,0,12,1,1,0,0,12,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,yes,no,no,44,11.0,yes,13,0.34,good
6,autumn,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,Village1,Village1,Recruitment,Higher education,p,no,no,no,no,23,2.2,yes,0,0.08,bad
7,summer,0,1,0,0,2,0,5,4,0,0,3,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,n,yes,yes,yes,yes,31,6.0,yes,6,0.20,good
8,winter,0,0,0,0,1,0,5,2,0,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,yes,yes,53,1.2,yes,3,0.34,good
9,winter,1,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,q,yes,no,no,yes,41,4.1,yes,2,0.10,good
10,autumn,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,k,no,no,no,no,39,2.4,yes,0,0.02,good
11,autumn,0,1,0,0,4,1,8,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary technical education,f,yes,yes,no,no,48,22.6,yes,7,0.33,good
12,winter,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,j,yes,no,no,yes,46,19.1,yes,0,0.05,good
13,summer,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,RU,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,e,no,yes,yes,yes,60,40.0,yes,0,0.06,good
14,autumn,1,1,0,0,7,1,12,3,2,1,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Male,BY,Single,1,1,yes,yes,yes,City,City,Recruitment,Higher education,g,yes,yes,yes,yes,38,6.5,no,10,0.39,good
15,autumn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,n,yes,yes,no,no,56,8.0,yes,0,0.06,good
16,winter,0,0,0,0,1,1,8,5,1,0,2,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Feminine,BY,Separation,2,0,yes,yes,yes,City,City,Individual entrepreneur,Secondary technical education,k,yes,no,no,no,62,5.2,yes,6,0.30,good
17,autumn,0,0,0,0,2,1,6,7,1,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,no,yes,no,42,7.7,yes,9,0.26,good
18,winter,0,0,0,0,0,0,1,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,Rural village,Rural village,Recruitment,Secondary education,a,no,no,no,no,39,1.1,no,3,0.05,good
19,winter,1,2,0,0,1,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,no,no,no,no,25,1.3,yes,3,0.22,bad
20,winter,0,0,0,0,0,1,9,5,0,0,5,0,0,0,0,5,8,0,0,0,0,9,0,0,0,0,9,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,no,yes,no,no,26,2.0,yes,5,0.01,good
21,autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,s,yes,yes,yes,yes,26,3.1,yes,0,0.05,good
22,autumn,0,1,0,0,3,1,7,3,1,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,e,no,no,yes,no,50,16.1,yes,6,0.35,good
23,winter,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,RU,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary education,n,yes,yes,no,no,34,2.8,yes,1,0.29,good
24,autumn,0,0,0,0,1,1,1,2,0,0,16,0,0,0,0,16,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,Feminine,BY,Single,3,1,yes,no,yes,City,City,Recruitment,Secondary special education,a,yes,no,yes,yes,43,1.5,yes,3,0.04,good
25,winter,1,3,7,0,4,1,9,5,1,4,18,2,0,2,27,47,10,5,1,0,0,10,4,1,0,0,0,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,Village1,Village1,Owner of the enterprise,Higher education,k,yes,yes,no,no,26,4.2,yes,9,0.15,bad
26,autumn,0,0,2,0,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,g,no,no,no,no,22,1.4,yes,3,0.24,good
27,winter,0,0,7,0,2,1,12,3,0,1,1,2,2,0,1,19,5,4,0,0,0,8,5,0,0,0,4,6,0,0,0,Male,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Secondary special education,n,yes,no,no,no,47,5.3,yes,5,0.66,good
